campaign_id,phase,send_at_local,channel,audience,topic,headline,message,cta_text,cta_url,asset_path,priority,status
PASCUA2026,F2,2026-03-19 09:00,facebook_page,publico_general,ejercicios,"Dia 4 - Del Desierto al Hogar Pascual","Un camino para familias y comunidades. Sigue el material oficial en el landing.","Abrir material",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,,media,PENDING
PASCUA2026,F2,2026-03-20 09:00,facebook_page,publico_general,ejercicios,"Dia 5 - Cierre de Ejercicios","Ultimo dia de esta etapa cuaresmal. Te esperamos despues de misa de 6:00 PM.","Ver agenda",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,assets/campana-2026/ejercicioscuaresma2026.jpeg,alta,PENDING
PASCUA2026,F3,2026-03-21 09:00,facebook_page,publico_general,countdown,"Falta una semana","Comienza la cuenta regresiva. Revisa horarios oficiales y prepara a tu familia.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,alta,PENDING
PASCUA2026,F3,2026-03-23 18:30,facebook_page,publico_general,voluntariado,"Ultimos lugares de voluntariado","Si deseas servir en Semana Santa, este es el momento para registrarte.","Registro",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,voluntariado-publico-2026.jpeg,alta,PENDING
PASCUA2026,F3,2026-03-25 12:00,facebook_page,voluntarios,practicas,"Practica final previa","Hoy despues de misa de 6:00 PM, practica final para quienes participaran en liturgia de Semana Santa.","Ver ministerios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,,alta,PENDING
PASCUA2026,F3,2026-03-27 09:00,facebook_page,publico_general,ramos,"Domingo de Ramos","No olvides adquirir tu ramo. Habra bendicion de ramos en todas las misas.","Horarios de Ramos",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,alta,PENDING
PASCUA2026,F3,2026-03-28 12:00,facebook_page,publico_general,ramos,"Hoy misa de vispera","Sabado 6:00 PM inicia Domingo de Ramos con misa de vispera.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,alta,PENDING
PASCUA2026,F4,2026-03-29 06:30,facebook_page,publico_general,ramos,"Domingo de Ramos hoy","8:00 AM, 10:00 AM, 12:00 PM y 6:00 PM. Capilla San Judas 11:00 AM.","Detalle completo",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,critica,PENDING
PASCUA2026,F4,2026-03-30 07:00,facebook_page,publico_general,lunes_santo,"Lunes Santo","Misas: 8:00 AM y 6:00 PM. Jornada de austeridad y oracion.","Ver agenda",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,,alta,PENDING
PASCUA2026,F4,2026-03-31 07:00,facebook_page,publico_general,martes_santo,"Martes Santo","Misas: 8:00 AM y 6:00 PM. Envio para la Misa Crismal en la vespertina.","Ver agenda",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,,alta,PENDING
PASCUA2026,F4,2026-04-01 07:00,facebook_page,publico_general,miercoles_santo,"Miercoles Santo","Unica misa 6:00 PM. Recepcion de oleos y uncion de enfermos.","Ver detalles",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,,critica,PENDING
PASCUA2026,F4,2026-04-02 07:00,facebook_page,publico_general,jueves_santo,"Jueves Santo","Misa de la Cena del Senor 6:00 PM y adoracion 7:00 PM a 10:00 PM. No hay misa en Ntra. Sra. de Fatima.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,critica,PENDING
PASCUA2026,F4,2026-04-03 07:00,facebook_page,publico_general,viernes_santo,"Viernes Santo","10:00 AM Viacrucis, 5:00 PM Oficios, 6:00 PM Siete Palabras, 7:00 PM Procesion del Silencio.","Detalle completo",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,critica,PENDING
PASCUA2026,F4,2026-04-04 09:00,facebook_page,publico_general,vigilia,"Vigilia Pascual hoy","7:00 PM en parroquia y 7:00 PM en capilla San Judas. No hay misa en capilla del Senor de la Misericordia.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,critica,PENDING
PASCUA2026,F4,2026-04-05 07:00,facebook_page,publico_general,pascua,"Domingo de Pascua","Parroquia: 10:00 AM, 12:00 PM, 7:00 PM. Capillas: 9:00 AM, 11:00 AM, 1:00 PM.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,critica,PENDING
PASCUA2026,F4,2026-04-05 20:30,facebook_page,publico_general,cambio_horario,"Nuevo horario vespertino activo","A partir de hoy, las misas vespertinas en parroquia son a las 7:00 PM.","Ver aviso oficial",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/cambiodehorario2026.jpeg,alta,PENDING
PASCUA2026,F5,2026-04-06 09:00,facebook_page,publico_general,agradecimiento,"Gracias por vivir Semana Santa","Agradecemos a toda la comunidad y voluntarios por su entrega y servicio.","Seguir en Facebook",https://www.facebook.com/profile.php?id=100080397279166,,media,PENDING
PASCUA2026,F5,2026-04-07 18:30,facebook_page,voluntarios,seguimiento,"Seguimiento de voluntariado","Si serviste en Semana Santa, permanece en tu grupo para evaluacion y siguientes actividades.","Abrir grupos",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,,media,PENDING
PASCUA2026,F5,2026-04-12 09:00,facebook_page,publico_general,pospascua,"Continuamos en tiempo pascual","Te esperamos en celebraciones parroquiales y vida comunitaria.","Horarios parroquiales",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/cambiodehorario2026.jpeg,media,PENDING
